Rank,Cancer,new_cases_2020,percent_of_all_cancers,,,
,All cancers*,"9,342,957",,,,
1,Lung,"1,435,943",15.4,,,
2,Prostate,"1,414,259",15.1,,,
3,Colorectal**,"1,065,960",11.4,,,
4,Stomach,"719,523",7.7,,,
5,Liver,"632,320",6.8,,,
6,Bladder,"440,864",4.7,,,
7,Oesophagus,"418,350",4.5,,,
8,Non-Hodgkin lymphoma,"304,151",3.3,,,
9,Kidney,"271,249",2.9,,,
10,Leukaemia,"269,503",2.9,,,
11,"Lip, oral cavity","264,211",2.8,,,
12,Pancreas,"262,865",2.8,,,
13,Melanoma of skin,"173,844",1.9,,,
14,"Brain, central nervous system","168,346",1.8,,,
15,Larynx,"160,265",1.7,,,
16,Thyroid,"137,287",1.5,,,
17,Multiple melanoma,"98,613",1.1,,,
18,Nasopharynx,"96,371",1.0,,,
19,Oropharynx,"79,045",0.8,,,
20,Testis,"74,458",0.8,,,
21,Hypopharynx,"70,254",0.8,,,
22,Hodgkin lymphoma,"48,981",0.5,,,
23,Gallbladder,"41,062",0.4,,,
24,Penis,"36,068",0.4,,,
25,Salivary glands,"29,694",0.3,,,
26,Kaposi sarcoma,"23,413",0.3,,,
27,Mesothelioma,"21,560",0.2,,,
